transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantiy,price_per_unit,cogs,total_sale,Shift,
15,01-07-2022,11:50:00,75,Female,42,Electronics,4,500,210,2000,Morning,
743,07-08-2022,07:54:00,55,Female,34,Beauty,4,500,260,2000,Morning,
1015,09-03-2022,11:53:00,94,Female,42,Electronics,4,500,200,2000,Morning,
1743,26-10-2022,09:37:00,47,Female,34,Beauty,4,500,250,2000,Morning,
742,19-03-2022,06:08:00,37,Female,38,Electronics,4,500,195,2000,Morning,
1742,22-11-2022,08:25:00,18,Female,38,Electronics,4,500,220,2000,Morning,
420,02-01-2022,10:53:00,28,Female,22,Clothing,4,500,200,2000,Morning,
1420,15-04-2022,07:01:00,138,Female,22,Clothing,4,500,205,2000,Morning,
592,26-12-2022,09:15:00,77,Female,46,Beauty,4,500,275,2000,Morning,
1592,16-03-2022,09:08:00,81,Female,46,Beauty,4,500,155,2000,Morning,
269,19-09-2022,11:31:00,87,Male,25,Clothing,4,500,250,2000,Morning,
1269,01-01-2022,08:09:00,71,Male,25,Clothing,4,500,145,2000,Morning,
577,21-04-2022,11:55:00,45,Male,21,Beauty,4,500,215,2000,Morning,
1577,11-09-2022,06:22:00,145,Male,21,Beauty,4,500,160,2000,Morning,
416,21-08-2022,09:29:00,55,Male,53,Electronics,4,500,245,2000,Morning,
1416,29-12-2022,10:47:00,111,Male,53,Electronics,4,500,125,2000,Morning,
257,10-12-2022,08:49:00,130,Male,19,Beauty,4,500,165,2000,Morning,
1257,10-05-2022,11:55:00,29,Male,19,Beauty,4,500,255,2000,Morning,
152,16-06-2022,11:58:00,120,Male,43,Electronics,4,500,210,2000,Morning,
1152,26-12-2022,07:48:00,87,Male,43,Electronics,4,500,170,2000,Morning,
547,14-11-2022,07:36:00,3,Male,63,Clothing,4,500,250,2000,Morning,
1547,11-08-2022,06:39:00,142,Male,63,Clothing,4,500,235,2000,Morning,
808,22-11-2023,07:18:00,30,Male,33,Beauty,4,500,195,2000,Morning,
1808,12-02-2023,10:48:00,109,Male,33,Beauty,4,500,210,2000,Morning,
166,28-01-2023,11:42:00,32,Male,34,Clothing,4,500,225,2000,Morning,
1166,19-07-2023,07:45:00,65,Male,34,Clothing,4,500,245,2000,Morning,
572,13-12-2023,18:33:00,5,Male,31,Clothing,4,500,185,2000,Evening,
1572,18-06-2023,22:20:00,1,Male,31,Clothing,4,500,175,2000,Evening,
946,08-08-2023,20:15:00,2,Male,62,Electronics,4,500,235,2000,Evening,
1946,27-07-2023,20:48:00,5,Male,62,Electronics,4,500,165,2000,Evening,
731,30-09-2023,18:49:00,1,Male,54,Clothing,4,500,165,2000,Evening,
1731,19-12-2023,17:41:00,3,Male,54,Clothing,4,500,195,2000,Evening,
118,13-03-2023,20:07:00,3,Female,30,Electronics,4,500,270,2000,Evening,
970,25-05-2023,18:13:00,2,Male,59,Electronics,4,500,220,2000,Evening,
1118,13-10-2023,17:24:00,1,Female,30,Electronics,4,500,170,2000,Evening,
1970,22-05-2023,17:44:00,5,Male,59,Electronics,4,500,230,2000,Evening,
155,18-07-2023,18:05:00,3,Male,31,Electronics,4,500,150,2000,Evening,
1155,03-12-2023,18:22:00,3,Male,31,Electronics,4,500,255,2000,Evening,
72,06-12-2023,19:19:00,5,Female,20,Electronics,4,500,195,2000,Evening,
281,18-09-2023,20:09:00,4,Female,29,Beauty,4,500,275,2000,Evening,
1072,24-02-2023,18:10:00,4,Female,20,Electronics,4,500,180,2000,Evening,
1281,14-03-2023,19:34:00,4,Female,29,Beauty,4,500,165,2000,Evening,
561,29-07-2022,17:04:00,34,Female,64,Clothing,4,500,250,2000,Evening,
1561,17-09-2023,19:38:00,16,Female,64,Clothing,4,500,170,2000,Evening,
157,15-05-2022,21:59:00,98,Male,62,Electronics,4,500,170,2000,Evening,
927,21-02-2022,17:13:00,83,Male,43,Electronics,4,500,250,2000,Evening,
1157,23-12-2022,21:24:00,81,Male,62,Electronics,4,500,270,2000,Evening,
1927,06-09-2023,19:44:00,46,Male,43,Electronics,4,500,180,2000,Evening,
480,22-12-2022,22:12:00,126,Female,42,Beauty,4,500,225,2000,Evening,
1480,26-11-2023,18:05:00,3,Female,42,Beauty,4,500,165,2000,Evening,
447,18-04-2023,17:57:00,37,Male,22,Beauty,4,500,245,2000,Evening,
1447,30-05-2022,22:21:00,137,Male,22,Beauty,4,500,155,2000,Evening,
93,25-01-2022,20:52:00,148,Female,35,Beauty,4,500,140,2000,Evening,
1093,06-11-2023,17:26:00,87,Female,35,Beauty,4,500,270,2000,Evening,
773,14-01-2023,19:10:00,3,Male,25,Electronics,4,500,175,2000,Evening,
1773,12-12-2023,18:50:00,80,Male,25,Electronics,4,500,165,2000,Evening,
487,09-04-2023,21:03:00,36,Male,44,Clothing,4,500,235,2000,Evening,
1487,01-02-2023,19:01:00,131,Male,44,Clothing,4,500,140,2000,Evening,
875,30-11-2023,21:47:00,134,Female,51,Electronics,4,500,135,2000,Evening,
1875,03-06-2022,22:42:00,141,Female,51,Electronics,4,500,165,2000,Evening,
476,12-12-2023,18:31:00,131,Female,27,Clothing,4,500,570,2000,Evening,
1476,11-11-2022,22:27:00,130,Female,27,Clothing,4,500,555,2000,Evening,
253,30-09-2022,21:26:00,66,Female,53,Clothing,4,500,525,2000,Evening,
1253,03-12-2023,19:58:00,108,Female,53,Clothing,4,500,605,2000,Evening,
832,13-11-2022,17:25:00,106,Male,47,Beauty,4,500,600,2000,Evening,
1832,10-11-2023,21:17:00,57,Male,47,Beauty,4,500,480,2000,Evening,
412,04-09-2022,19:36:00,30,Female,19,Electronics,4,500,570,2000,Evening,
1412,13-10-2022,19:59:00,75,Female,19,Electronics,4,500,615,2000,Evening,
626,30-10-2022,21:01:00,65,Female,26,Clothing,4,500,555,2000,Evening,
1626,10-10-2022,19:13:00,19,Female,26,Clothing,4,500,495,2000,Evening,
789,06-12-2023,22:13:00,34,Female,61,Clothing,4,500,510,2000,Evening,
1789,10-11-2023,17:02:00,144,Female,61,Clothing,4,500,615,2000,Evening,
89,30-12-2023,21:15:00,117,Female,55,Electronics,4,500,590,2000,Evening,
1089,21-10-2023,18:44:00,108,Female,55,Electronics,4,500,555,2000,Evening,
735,26-11-2022,21:38:00,153,Female,64,Clothing,4,500,515,2000,Evening,
1735,05-09-2023,17:26:00,86,Female,64,Clothing,4,500,505,2000,Evening,
634,10-10-2022,19:25:00,68,Male,60,Electronics,4,500,535,2000,Evening,
1634,03-11-2023,17:18:00,90,Male,60,Electronics,4,500,520,2000,Evening,
109,06-09-2023,19:57:00,94,Female,34,Electronics,4,500,560,2000,Evening,
1109,13-12-2023,22:13:00,114,Female,34,Electronics,4,500,590,2000,Evening,
342,05-11-2023,17:24:00,85,Female,43,Clothing,4,500,500,2000,Evening,
1342,18-09-2022,23:00:00,114,Female,43,Clothing,4,500,485,2000,Evening,
503,08-10-2023,20:06:00,63,Male,45,Beauty,4,500,570,2000,Evening,
1503,17-10-2022,18:28:00,67,Male,45,Beauty,4,500,605,2000,Evening,
124,24-12-2022,21:17:00,83,Male,33,Clothing,4,500,515,2000,Evening,
1124,06-10-2023,20:04:00,83,Male,33,Clothing,4,500,515,2000,Evening,
595,15-10-2022,21:35:00,65,Female,18,Clothing,4,500,210,2000,Evening,
1595,04-10-2023,17:44:00,115,Female,18,Clothing,4,500,255,2000,Evening,
74,05-10-2023,19:50:00,56,Female,18,Beauty,4,500,205,2000,Evening,
1074,04-10-2022,20:18:00,67,Female,18,Beauty,4,500,230,2000,Evening,
65,11-12-2022,20:03:00,84,Male,51,Electronics,4,500,160,2000,Evening,
1065,24-10-2023,15:16:00,76,Male,51,Electronics,4,500,175,2000,Afternoon,
700,01-09-2022,15:07:00,61,Male,36,Electronics,4,500,250,2000,Afternoon,
1700,27-09-2023,16:10:00,87,Male,36,Electronics,4,500,210,2000,Afternoon,
139,15-09-2023,14:03:00,113,Male,36,Beauty,4,500,230,2000,Afternoon,
1139,21-12-2023,14:23:00,87,Male,36,Beauty,4,500,230,2000,Afternoon,
664,03-09-2022,16:52:00,109,Female,44,Clothing,4,500,170,2000,Afternoon,
1664,12-12-2023,16:44:00,99,Female,44,Clothing,4,500,245,2000,Afternoon,
522,09-07-2022,11:00:00,52,Male,46,Beauty,3,500,145,1500,Morning,
1522,14-11-2022,08:35:00,48,Male,46,Beauty,3,500,235,1500,Morning,
421,08-04-2022,08:43:00,66,Female,37,Clothing,3,500,235,1500,Morning,
1421,17-01-2022,07:07:00,59,Female,37,Clothing,3,500,185,1500,Morning,
